"","seqn","ridstatr","riagendr","ridageyr","ridreth1","ridexmon","ridexagy","dmdborn4","dmdeduc3","sialang","wtint","wtmec","sdmvpsu","sdmvstra","indhhin2","indfmin2","indfmpir","dmdhhsiz","dmdfmsiz","dmdhhsza","dmdhhszb","dmdhhszf","dmdhrgnd","dmdhrage","dmdhrbr4","dmdhredu","dmdhrmar"
"642",72558,2,2,8,3,1,8,1,1,1,38554.923589,39444.791257,1,1,14,14,2.96,5,5,1,2,2,2,46,1,5,1
"643",72559,2,1,8,1,1,8,1,2,1,32079.425024,32460.37786,2,1,5,5,0.74,5,5,0,3,2,2,51,1,2,3
"644",72560,2,2,9,4,2,9,1,4,1,20077.988353,21090.512226,5,1,5,5,1.04,4,4,0,2,2,1,42,1,2,1
"645",72561,2,1,13,1,1,13,2,6,2,37565.810857,37142.154501,2,1,3,3,0.44,5,5,0,2,2,2,37,2,1,6
"646",72562,2,1,3,1,1,3,1,NA,1,24063.499317,25455.160925,15,1,5,5,1.26,3,3,1,0,2,2,25,1,2,5
"647",72563,2,2,15,5,2,15,1,8,1,16855.091133,17431.083372,10,1,8,8,1.71,6,6,0,2,1,1,40,2,1,1
"648",72564,2,2,6,4,2,6,1,0,1,11460.124356,12038.053245,11,1,9,9,3.25,3,3,0,2,2,2,32,1,3,5
"649",72565,2,2,7,2,1,7,2,1,2,22367.179373,22847.56838,14,1,77,77,NA,6,6,2,2,2,1,38,2,1,1
"650",72566,2,2,9,3,1,9,1,3,1,34844.990725,35991.057193,14,1,14,14,3.47,4,4,0,2,2,1,40,1,5,1
"651",72567,2,1,8,2,2,8,1,2,2,10250.275682,10509.712924,7,1,2,2,0.41,4,4,0,2,2,2,34,1,3,1
"652",72568,2,1,11,3,2,12,1,5,1,49073.519574,51027.181835,8,1,15,15,5,5,5,0,1,2,2,48,1,3,1
"653",72569,2,1,3,3,1,3,1,NA,1,51666.585227,52135.043769,3,1,NA,3,0.52,5,4,2,0,2,1,18,NA,NA,NA
"654",72570,2,2,7,2,2,7,1,1,2,13405.308939,13791.202307,10,1,7,7,1.74,4,4,0,2,2,1,32,2,1,1
"655",72571,2,1,13,3,2,13,1,6,1,24452.104389,26859.646898,12,1,1,1,0,3,3,0,2,2,2,43,1,4,3
"656",72572,2,1,13,4,2,13,1,7,1,19636.74402,20419.559219,10,1,10,10,3.4,3,3,0,1,2,1,47,NA,NA,1
"657",72573,2,1,12,3,1,12,1,5,1,46886.548568,48810.462396,2,1,15,15,3.31,6,6,0,4,2,2,42,1,5,1
"658",72574,2,1,8,2,1,9,1,2,2,25431.339062,26326.828352,15,1,8,8,1.95,4,4,1,1,2,1,41,2,4,1
"659",72575,2,2,7,2,1,7,1,1,2,23664.751155,24345.97906,15,1,4,4,0.65,4,4,0,3,2,2,35,2,3,4
"660",72576,2,2,7,3,1,7,1,1,1,32521.991343,33591.65338,14,1,15,15,5,4,4,0,2,2,1,31,1,4,1
